proof,verify,nizk
6.128993,11.47627,17.605263
6.625971,11.500072,18.126043
6.123316,11.4652815,17.5885975
6.127952,11.461843,17.589795
6.1300874,11.470906,17.6009934
6.1374826,11.472364,17.6098466
6.111233,11.487573,17.598806
6.113056,11.479032,17.592088
6.131233,11.463405,17.594638
6.618055,11.496739,18.114794
6.1226397,11.484395,17.6070347
6.11941,11.472676,17.592086000000002
6.133837,11.472468,17.606305
6.126754,11.471478,17.598232
6.120035,11.472937,17.592972
6.109879,11.467208,17.577087
6.133108,11.469029,17.602137
6.611909,11.48976,18.101669
6.1477947,11.472883,17.6206777
6.115244,11.488093,17.603337
6.1146703,11.472208,17.586878300000002
6.1294103,11.473353,17.6027633
6.119254,11.472364,17.591618
6.110243,11.58778,17.698023
6.1374826,11.469187,17.6066696
6.628263,11.505904,18.134166999999998
6.150972,11.471479,17.622451
6.132015,11.463354,17.595369
6.116754,11.471322,17.588076
6.123316,11.472677,17.595993
6.1277432,11.508093,17.6358362
6.115347,11.475593,17.59094
6.108108,11.476583,17.584691
6.615919,11.496479,18.112398
6.149774,11.465697,17.615471
6.131962,11.467103,17.599065
6.111076,11.485697,17.596773
6.10941,11.471322,17.580732
6.129202,11.4749155,17.6041175
6.1415977,11.470177,17.611774699999998
6.1120663,11.484031,17.5960973
6.586492,11.500749,18.087241
6.151702,11.468145,17.619847
6.1295137,11.467155,17.596668700000002
6.128108,11.463875,17.591983
6.1070657,11.468979,17.576044699999997
6.136233,11.4732485,17.6094815
6.12691,11.471844,17.598754
6.128628,11.471948,17.600576
6.569201,11.519551,18.088752
6.125191,11.486166,17.611357
6.179566,11.471426,17.650992
6.1436806,11.48377,17.6274506
6.1605043,11.497727,17.6582313
6.128003,11.476218,17.604221
6.1395664,11.475072,17.6146384
6.1330557,11.472468,17.6055237
6.627013,11.505437,18.13245
6.115451,11.468197,17.583648
6.1322746,11.478093,17.6103676
6.134775,11.470542,17.605317
6.1345143,11.467728,17.6022423
6.114723,11.472051,17.586774
6.125139,11.473927,17.599066
6.123942,11.4740305,17.5979725
6.598836,11.498875,18.097711
6.114566,11.497364,17.61193
6.1179,11.466948,17.584848
6.1355042,11.461687,17.597191199999997
6.135295,11.46398,17.599275
6.109201,11.519342,17.628543
6.1122737,11.474238,17.5865117
6.122691,11.473405,17.596096
6.6226897,11.503406,18.1260957
6.143108,11.470177,17.613284999999998
6.11165,11.469707,17.581357
6.11889,11.4705925,17.589482500000003
6.1348786,11.46877,17.6036486
6.123785,11.459552,17.583337
6.113629,11.493457,17.607086
6.114358,11.473561,17.587919
6.61019,11.508925,18.119115
6.157952,11.477416,17.635368
6.113525,11.488875,17.6024
6.114202,11.467207,17.581409
6.136546,11.470801,17.607347
6.127274,11.486687,17.613961
6.134983,11.467676,17.602659000000003
6.10842,11.473354,17.581774
6.6239924,11.500332,18.1243244
6.140868,11.479083,17.619951
6.12967,11.472572,17.602242
6.104566,11.477779,17.582345
6.115192,11.476635,17.591827000000002
6.134253,11.4704895,17.6047425
6.128108,11.947885,18.075993
6.19415,11.506687,17.700837
6.5732107,11.501791,18.0750017
6.1477947,11.474186,17.6219807
6.12915,11.474447,17.603597
6.1354523,11.478823,17.6142753
6.1113367,11.465749,17.5770857
6.127275,11.470229,17.597504
6.136546,11.469655,17.606201
6.133004,11.472571,17.605575
6.571492,11.522103,18.093595
6.133264,11.472051,17.605315
6.1441503,11.471582,17.615732299999998
6.123004,11.471894,17.594898
6.113317,11.489186,17.602503
6.112275,11.689968,17.802243
6.988314,13.01861,20.006924
7.110553,11.967362,19.077915
6.663315,11.560072,18.223387
6.174045,11.4756975,17.649742500000002
6.164254,11.488093,17.652347
6.134306,11.492,17.626306
6.170087,11.475646,17.645733
6.139618,11.476739,17.616357
6.148785,11.474031,17.622816
6.1111293,11.480021,17.591150300000002
6.61545,11.502051,18.117501
6.151806,11.466583,17.618389
6.141806,11.471635,17.613440999999998
6.115243,11.48502,17.600263
6.110816,11.474135,17.584951
6.126597,11.471009,17.597606
6.140452,11.471114,17.611566
6.114359,11.485645,17.600004
6.577117,11.506791,18.083908
6.154254,11.4705925,17.6248465
6.1371193,11.466895,17.6040143
6.154045,11.479916,17.633961
6.127431,11.484187,17.611618
6.145035,11.474864,17.619899
6.1407123,11.47726,17.617972299999998
6.146493,11.476634,17.623127
6.587847,11.522781,18.110628
6.123993,11.466009,17.590002
6.1381598,11.471739,17.6098988
6.132379,11.54481,17.677189
6.128837,11.489812,17.618649
6.114462,11.472781,17.587243
6.12691,11.473874,17.600784
6.128837,11.47476,17.603597
6.612482,11.502468,18.11495
6.109358,11.468353,17.577711
6.127952,11.480436,17.608387999999998
6.126128,11.468457,17.594585000000002
6.137951,11.465593,17.603544
6.110243,11.521062,17.631305
6.113681,11.477937,17.591618
6.130504,11.469864,17.600368
6.604825,11.501895,18.10672
6.1223783,11.500334,17.6227123
6.121441,11.462051,17.583492
6.1302958,11.470125,17.6004208
6.1321187,11.462832,17.594950700000002
6.131598,11.465696,17.597293999999998
6.112014,11.475072,17.587086
6.117639,11.471531,17.58917
6.618523,11.501478,18.120001000000002
6.143056,11.469448,17.612504
6.108993,11.481635,17.590628000000002
6.11566,11.467885,17.583545
6.1229,11.472834,17.595734
6.1345143,11.4722595,17.6067738
6.107743,11.52002,17.627763
