proof,verify,nizk
26.557652,40.96946,67.527112
21.797714,28.024633,49.822347
15.608794,27.905632,43.514426
15.641793,27.902632,43.544425000000004
15.595795,27.862637,43.458432
15.582796,27.93563,43.518426
15.762793,27.775637,43.53843
15.579797,27.819635,43.399432000000004
17.403772,27.820635,45.224407
15.819794,27.832636,43.65243
15.581796,28.096632,43.678428
15.681796,27.841637,43.523433
15.563796,27.854637,43.418433
15.706795,27.866636,43.573431
15.617796,27.809637,43.427433
15.593795,27.852636,43.446431000000004
17.395773,58.40123,75.79700299999999
25.98666,54.562286,80.548946
30.284603,44.343414,74.628017
16.81878,27.999632,44.818411999999995
15.608795,27.814636,43.423431
15.657796,27.834635,43.492430999999996
15.665795,27.848637,43.514432
15.571796,27.854637,43.426433
17.406773,27.929634,45.336407
15.612796,27.825636,43.438432
15.555798,27.904634,43.460432
15.742794,27.817636,43.56043
15.594796,28.484627,44.079423
15.793793,27.987635,43.781428000000005
15.657796,27.985634,43.64343
15.622795,27.995636,43.618431
17.58877,27.825636,45.414406
15.573796,27.837635,43.411431
15.658796,27.831636,43.490432
15.632795,27.849634,43.482428999999996
15.573796,27.901636,43.475432
16.523785,28.763624,45.287409
15.808795,27.959635,43.768429999999995
15.718794,27.809637,43.528431
17.491774,27.887636,45.37941
15.585797,27.875635,43.461432
15.664796,27.845636,43.510432
15.573797,27.762636,43.336433
15.705794,27.773636,43.47943
15.664796,27.807636,43.472432
15.592795,27.878637,43.471432
15.686795,27.920635,43.60743
17.451773,27.854637,45.30641
15.686795,27.808636,43.495430999999996
15.630796,27.924637,43.555433
15.551797,27.866636,43.418433
15.673796,27.792639,43.466435000000004
15.631797,27.858635,43.490432
15.724795,27.885635,43.61043
15.634795,27.78764,43.422435
17.612772,27.852636,45.465408
15.715795,27.795639,43.511434
15.638797,27.822636,43.461433
15.608796,28.435629,44.044425
16.07979,28.874624,44.954414
15.696795,28.084635,43.78143
15.789794,27.795639,43.585433
15.6237955,27.977636,43.601431500000004
17.352776,27.868635,45.221411
15.639797,27.851635,43.491432
15.575797,27.849634,43.425430999999996
15.571797,27.880634,43.452431000000004
15.660796,27.808636,43.469432
15.583797,27.882635,43.466432
15.735796,27.904634,43.64043
15.623796,27.843637,43.467433
17.350775,27.946636,45.297411
15.624797,27.951635,43.576432
15.580796,27.853638,43.434433999999996
15.670796,27.802639,43.473434999999995
15.629796,27.848639,43.478435
15.577797,27.998636,43.576433
15.667796,27.809639,43.477435
15.664797,28.129635,43.794432
17.402773,27.81864,45.221413
15.648797,40.16148,55.810277
23.505695,62.328194,85.833889
26.92065,59.686226,86.606876
17.385773,28.135633,45.521406
15.5767975,27.900639,43.4774365
15.660796,27.79464,43.455436
15.643798,27.841639,43.485437000000005
17.310776,27.993637,45.304413
15.628796,27.852638,43.481434
15.592797,27.866636,43.459433
15.765796,27.782639,43.548435
15.670796,27.811642,43.482438
15.614799,27.93564,43.550439
15.670796,27.88664,43.557435999999996
15.646796,27.84664,43.493436
17.428774,27.80064,45.229414000000006
15.618798,27.84964,43.468438
15.558798,27.820639,43.379436999999996
15.768796,27.81964,43.588436
15.647799,27.84164,43.489439000000004
15.767796,27.86264,43.630436
15.643798,29.46962,45.113417999999996
15.658797,28.085636,43.744433
17.392773,27.88564,45.278413
15.603799,27.79064,43.394439
15.594798,27.953638,43.548436
15.699797,27.844639,43.544436000000005
15.584798,27.81664,43.401438
15.583798,27.95064,43.534438
15.752796,27.844639,43.597435000000004
15.588798,27.851639,43.440437
17.51777,27.906637,45.424407
15.572799,27.86964,43.442439
15.641797,27.89164,43.533437
15.617798,27.854641,43.472439
15.587799,27.83664,43.424439
15.666798,27.76264,43.429438000000005
15.726797,27.847641,43.574438
15.584798,27.87064,43.455438
17.409775,27.89464,45.304415
15.701797,27.811642,43.513439
15.603799,27.86564,43.469439
15.839795,27.80364,43.643435000000004
15.5848,28.072638,43.657438
15.699799,28.86163,44.561429000000004
16.22579,28.011639,44.237429
15.886795,27.81464,43.701435000000004
17.462774,27.833641,45.296414999999996
15.566798,27.99164,43.558438
15.981793,27.85364,43.835432999999995
15.582799,27.83864,43.421439
15.759796,27.833641,43.593437
15.631799,27.82964,43.461439
