int_mut,nizk,nizk_mut
213.26257,60.532654,131.00928
195.65369,53.027702,139.54124
184.33876,52.6817,144.20421
220.63351,54.222694,137.09325
201.77266,52.319706,1364.0575
187.41174,52.673706,167.77908
190.57272,53.2547,223.78679
189.56372,51.976707,213.26283
193.0287,51.95971,247.80266
191.07872,53.375698,248.51765
181.2358,52.407703,138.38525
191.44972,54.93869,166.07309
193.46269,58.179672,182.313
211.87057,57.669678,235.26971
197.76466,57.551674,158.74713
190.07472,65.70463,212.99884
189.91875,60.21966,191.33095
190.62573,63.62264,177.11803
235.48943,63.66564,205.82887
203.87563,61.928654,427.75064
182.12778,55.33769,347.1161
199.71565,50.529716,226.56175
187.63374,51.785706,305.48535
188.59575,60.814655,343.3541
189.05273,62.02065,1314.5879
183.65378,58.805668,252.5374
201.18564,55.457687,235.09315
193.1997,51.82571,173.01309
185.63075,50.01272,449.44745
189.51373,52.791702,345.98322
182.77579,52.271706,427.43985
217.48756,54.056698,289.44016
198.00867,57.410675,302.79694
222.50952,60.619656,187.20586
185.16576,57.180676,217.32434
170.74287,63.26764,252.30377
169.80586,59.50666,212.48044
169.11285,59.758663,278.18735
194.18271,57.000683,145.31956
184.02077,60.23366,186.80888
198.53967,57.069683,135.15073
186.40276,57.07268,201.84663
190.62773,59.822662,150.55148
190.66972,59.566666,130.15282
202.77563,57.26568,120.24799
193.17972,56.235683,123.35094
184.35178,59.34566,124.49192
200.17967,57.396675,145.81357
190.54173,56.86668,129.50385
229.75748,58.97067,136.5157
199.84767,90.43949,136.08272
188.48975,69.86461,138.78368
186.69675,57.50868,161.3623
198.93468,51.90471,130.86882
188.61674,51.50871,125.02492
196.7387,51.86771,124.596924
190.18173,52.042706,129.13585
202.36066,51.78671,129.37885
203.29263,68.368614,125.82691
194.53369,60.15066,145.49257
169.58987,52.04171,132.82878
190.09674,52.1607,135.49873
205.22263,51.967705,143.3916
194.8637,52.565704,134.04677
189.97572,56.58168,182.03896
197.51167,58.902668,118.54202
198.16768,57.766674,138.46469
199.46765,61.544655,128.61086
184.99077,59.225662,122.70896
198.19669,53.633698,123.55495
190.96472,51.421715,128.47487
203.15565,51.96371,149.89551
198.53967,50.72971,139.20767
192.8417,51.996708,144.6296
182.43279,51.762707,138.25769
184.70978,53.2767,139.59067
217.57254,52.5717,140.80968
191.65173,52.866703,137.62172
188.39574,53.2267,132.5188
195.4027,52.080708,135.30974
249.41934,52.026707,144.1006
196.8207,55.720684,140.60367
195.9377,59.15767,148.60252
194.1667,60.052658,139.0717
205.92464,56.853683,137.96771
198.0327,62.58165,183.93195
185.56375,53.828697,163.65028
186.61375,55.96868,144.9066
201.26666,52.501705,134.28476
192.58772,51.98871,135.87173
184.25578,51.83371,144.00763
191.09474,53.656696,134.55876
183.89778,51.69071,147.62956
209.4016,51.88471,138.1987
195.6757,56.385685,139.4637
203.89165,66.83762,158.33537
195.2407,54.65169,133.74377
203.01266,54.447697,138.8527
193.81972,54.48769,145.1656
194.13972,61.116653,139.1097
185.40576,57.284676,147.19556
197.47069,56.92368,142.68564
192.32672,59.738667,137.50772
185.41776,56.40168,132.60681
184.92278,65.38163,142.91864
198.71169,70.8116,134.14978
212.7686,66.763626,183.30797
198.27367,56.169685,130.68584
189.68375,53.0747,142.90663
194.4147,51.888706,148.98055
187.19975,51.80871,132.23282
208.92761,52.306705,143.13065
189.82074,52.3897,132.8868
188.14876,51.888706,134.59778
194.5007,51.886707,134.82677
216.16257,59.115665,145.7586
207.57161,53.865696,130.38785
205.22763,52.05771,137.90472
188.61174,57.68768,143.89961
189.87674,56.89568,133.79579
186.50175,59.944664,141.12267
186.36876,61.090656,146.42558
201.53166,62.20665,134.59279
195.7877,64.72263,150.34253
193.74171,57.533676,146.97458
188.27574,60.18566,134.0548
216.40556,57.796673,134.17278
195.10771,57.11568,174.23512
186.08076,59.074665,149.47853
190.58875,69.53561,124.10795
205.90762,59.755665,122.639984
189.19975,56.67968,124.696945
197.77267,52.047707,123.96396
195.9357,52.483704,143.74864
200.67267,53.2117,134.3348
203.72964,52.426704,156.44742
179.32281,51.992706,136.59375
186.08276,53.770695,142.37666
198.41568,53.1527,147.54657
205.47163,52.623703,148.18356
192.93872,54.626694,141.64667
225.01451,54.761692,147.32057
203.13165,58.48767,132.23982
203.88666,54.726692,139.3587
209.71962,50.076717,144.75562
214.79059,55.932686,133.41481
214.33858,56.87968,140.83469
199.66867,62.850647,145.7566
197.3337,56.84968,134.76878
189.99673,57.00468,178.98506
190.25073,56.71868,131.51485
203.71866,57.245678,156.76443
195.9687,57.21468,140.2057
183.11678,63.729637,140.3057
187.04976,65.09363,144.16563
201.33667,57.76568,135.15977
253.38432,63.931637,133.24081
206.89163,64.581635,143.61565
198.2107,69.8886,133.02481
208.51262,51.86771,136.00378
191.99673,51.969707,142.26967
180.7598,51.774708,122.206
199.14868,52.054707,123.87697
211.74861,53.8407,128.8449
198.0837,52.218704,126.330925
190.38774,52.9047,126.133934
201.10468,52.093708,135.89677
199.57368,51.70171,152.4295
194.83273,51.71571,135.22879
194.52971,52.13171,136.43175
189.67174,51.91871,183.661
244.87038,53.3927,146.80258
209.85861,51.768707,126.26493
187.32077,55.66469,122.84299
192.89772,58.841667,122.87399
198.7107,51.74771,123.890976
199.8707,52.562702,143.56364
196.60071,51.591713,133.52582
189.91376,51.519707,134.0028
186.66377,54.3317,145.40863
198.4157,52.114708,123.91198
195.7167,52.1467,125.23595
199.75468,56.74668,123.57398
200.01068,65.931625,124.53197
215.97858,69.89361,134.58582
193.65172,59.860664,138.37575
198.9067,56.65668,160.97636
188.69576,60.151657,131.14986
199.7867,56.97668,143.67865
206.24664,57.01768,134.8548
209.76262,57.566677,132.70483
201.31667,57.412678,131.56586
195.8457,59.097668,177.8551
189.81876,100.586426,199.05775
188.55475,60.261658,169.21925
192.96074,64.97663,133.14084
195.38672,56.44868,134.68181
193.34973,51.91071,132.50084
208.90662,52.944702,121.31202
201.24667,52.210705,124.12298
200.09569,52.511703,139.59773
260.40726,52.121708,131.32187
